PoreSizeDistribution_geometric_WtAvg_x,MUKEY,ksat_r_WtAvg,Ks_WtAvg,dbthirdbar_r_WtAvg,dbfifteenbar_r_WtAvg,ResidualWaterContent_WtAvg,Porosity_WtAvg,EffectivePorosity_WtAvg,BubblingPressure_Geometric_WtAvg,PoreSizeDistribution_geometric_WtAvg_y,AvaWaterCon,HydroGrp
0.145092498936,674425,5.00453273815,0.00178647385797,0.837960992662,,0.0214363269652,0.312496374754,0.291346593061,144.98374444,0.145092498936,0,D
0.218916621991,674426,9.42802500841,0.00472666874153,1.04642468414,,0.0280214845969,0.328117820242,0.301229212633,125.284781136,0.218916621991,0,B
0.235594354353,674427,7.94315603481,0.00609747520477,1.2688724916,,0.047763720417,0.470536280891,0.434796463947,232.425022226,0.235594354353,0,B
0.234596120856,674428,8.56264747686,0.00438454561896,1.21749071722,,0.0318477956885,0.394622598832,0.364624499069,153.22255931,0.234596120856,0,B
0.188832905734,674429,3.57259709133,0.00211448758222,1.15752035654,,0.0219075249943,0.414840227012,0.395204816991,178.836840692,0.188832905734,0,D
0.296757022263,674430,21.496125,0.0140398494434,1.03275478014,,0.0213626808905,0.314999666048,0.29374325603,80.448325603,0.296757022263,0,D
0.237111415893,674431,8.09168480447,0.004534106223,1.27453827088,,0.0238708971334,0.455852729244,0.432307846619,180.346974371,0.237111415893,0,D
0.245009485975,674432,11.6010740457,0.00534788925637,1.22844439584,,0.0340877345923,0.388294707285,0.355498974607,152.625754976,0.245009485975,0,B
0.119623994847,674433,1.94810817141,0.00122422555232,0.857120726314,,0.054230985146,0.285254573047,0.258541298925,148.37442676,0.119623994847,0,D
0.208797317954,674434,4.19747911437,0.0022569493847,1.2935205183,,0.0370294094487,0.459455074102,0.433264246756,209.667969004,0.208797317954,0,B
0.162552111805,674435,0.630829124792,0.000666790748494,1.38690652886,,0.195216322913,0.473946793128,0.408804594301,306.904213962,0.162552111805,0,C
0.220049484838,674436,5.50847368893,0.00239304335709,1.43100705201,,0.0309821422419,0.490921292246,0.468313178066,212.019094717,0.220049484838,0,B
0.229911601941,674437,7.78804028139,0.0046594508673,1.37375979456,,0.0308999492879,0.46650444276,0.435394128416,225.641688721,0.229911601941,0,B
0.258478175009,674438,8.356341462,0.00380985959031,1.44166975679,,0.040872576398,0.454757597418,0.415043260943,213.238402542,0.258478175009,0,B
0.237832136253,674439,5.82992950526,0.00246390544282,1.39601250128,,0.0468728544768,0.444253246318,0.397611069968,248.222849558,0.237832136253,0,B
0.246145862845,674440,7.27540904126,0.00364332871282,1.31419119558,,0.0326137534484,0.462897851184,0.430380275863,173.09955931,0.246145862845,0,B
0.203412069054,674441,3.3704709048,0.00195728874332,1.32065981354,,0.0231981260571,0.463584193624,0.440402223823,210.706130245,0.203412069054,0,B
0.173667740043,674442,17.2717578099,0.00395437657718,1.08090457087,,0.0235736593139,0.354820993398,0.33054799518,178.013092473,0.173667740043,0,D
0.319929584832,674443,18.299978372,0.00827941182176,0.964829363094,,0.0376186977665,0.422327862445,0.385133822549,152.445022483,0.319929584832,0,B
0.246511643227,674444,15.3049449298,0.00636424736837,0.859387918969,,0.0283970082096,0.342209637322,0.315284129265,112.486593378,0.246511643227,0,C
0.329462388805,674445,23.1215121101,0.0104726520591,1.43327789537,,0.0756751080575,0.433792385855,0.393278997053,170.759297178,0.329462388805,0,A
0.267401651818,674446,13.055745,0.00545893459419,1.33337222222,,0.026108212097,0.450854090921,0.425285304228,167.717208647,0.267401651818,0,B
0.256544912069,674447,8.33996277252,0.00419017536255,1.32681892654,,0.0393568175668,0.418833351187,0.381360646479,184.311804205,0.256544912069,0,B
0.173785460411,674448,2.81338069635,0.00190761304222,1.18336800762,,0.0353703299625,0.4028591447,0.368490645766,218.249654261,0.173785460411,0,B
0.174206582538,674449,3.87895265211,0.00172959798931,1.15520235822,,0.0268676915949,0.411223003962,0.386178841804,204.824218011,0.174206582538,0,B
0.250399074623,674450,11.3804825701,0.00607801494602,1.31064002347,,0.0262319530376,0.454783345193,0.430527725286,185.254683008,0.250399074623,0,B
0.200329473299,674451,6.17679028967,0.00286270990651,1.30237422711,,0.0476594291501,0.469416756388,0.421466590081,275.43797164,0.200329473299,0,C
0.26904427257,674452,9.76773690679,0.00529726768373,1.40138800049,,0.0408313602896,0.471873136737,0.441325789112,184.562611805,0.26904427257,0,B
0.215038172772,674453,5.79521000167,0.00263172302419,1.27152812862,,0.0345895636711,0.450487678736,0.416726158241,215.231062714,0.215038172772,0,D
0.18445579168,674454,3.01473770436,0.00114244504344,1.36278159458,,0.042897778473,0.445773450803,0.401945080082,281.773003822,0.18445579168,0,B
0.303319362748,674455,19.1509415583,0.0105188553782,1.22997694229,,0.0306459708123,0.466205426608,0.43514817687,170.900777284,0.303319362748,0,B
0.198663426425,674456,6.81711662251,0.00214075948999,1.22075772329,,0.03503319955,0.440567735497,0.405532086667,218.115963409,0.198663426425,0,B
0.156068836947,674457,6.96617860256,0.00362872902177,0.819771139444,,0.0170619609553,0.286883235188,0.270951188592,116.529491552,0.156068836947,0,C
0.285083760377,674458,12.2600194149,0.0115912594806,1.39061014459,,0.0337570898639,0.458453855026,0.424521192271,203.695820986,0.285083760377,0,B
0.165802886315,674459,0.983189653857,0.000987437447229,1.30098892707,,0.169796539237,0.474848675101,0.42854151707,280.563147016,0.165802886315,0,C
0.181261182336,674460,3.2898582716,0.0012530477208,1.09268993352,,0.0323981718898,0.362192948718,0.329737606838,196.977217474,0.181261182336,0,D
0.188158115942,674461,3.35606444444,0.00114208202899,1.34266425121,,0.0321349516908,0.477460652174,0.444421304348,269.011371981,0.188158115942,0,C
0.196128067633,674462,3.32679892593,0.00118225285024,1.35256247987,,0.130309138486,0.467014130435,0.42710826087,268.761133655,0.196128067633,0,B
0.250451693719,674463,9.76933672724,0.00422500098095,1.2642116544,,0.0468643966126,0.456571284404,0.409183846154,186.520313691,0.250451693719,0,B
0.239714751965,674464,12.3114899335,0.00501816000928,1.15435343309,,0.0951059228833,0.400930251308,0.360071444478,198.638136064,0.239714751965,0,D
0.15943277592,674465,7.60545423077,0.00294612742475,0.753753065775,,0.0227651895206,0.244322826087,0.221376421405,115.47477146,0.15943277592,0,D
0.143372866797,674466,1.15447614127,0.000929772550745,1.12699317585,,0.2009273299,0.429213504613,0.38973263997,257.136503497,0.143372866797,0,D
0.195272,674467,5.27547387895,0.00262508926316,1.13238421053,,0.0317232631579,0.372467210526,0.341461894737,171.932763158,0.195272,0,B
0.112099081081,674468,1.97866981081,0.000483479567568,0.840505405405,,0.0275018918919,0.28014,0.251947459459,181.11552973,0.112099081081,0,B
0.17955,674469,8.892009,0.0034146,0.882,,0.02037,0.29547,0.27636,105.168,0.17955,0,D
0.13025,674470,4.841208,0.0008389,0.812,,0.02483,0.24863,0.2238,138.948,0.13025,0,B
0.0988476923077,674471,5.856362,0.00214875538462,0.484976923077,,0.0155361538462,0.15583,0.139943846154,81.0900769231,0.0988476923077,0,D
0.11376,674472,10.16232,0.0040728,0.372,,0.0084,0.10488,0.09624,20.856,0.11376,0,D
0.218741538462,674473,16.5333129231,0.00654189230769,0.741461538462,,0.0243830769231,0.2295,0.204743076923,79.1432307692,0.218741538462,0,D
0.305580352564,674474,13.9264954615,0.00545995865385,1.38399863099,,0.0536379273504,0.421756666667,0.368576399573,212.417087607,0.305580352564,0,B
0.327929238754,674475,33.7256721203,0.00811388362523,1.39224096353,,0.0431624966729,0.442482491349,0.399520992813,183.068781475,0.327929238754,0,D
