216.62583863, cell no: 116, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:261.100006, cell no: 2192, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.98213664609, psi:345.759999083, cell no: 2193, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.888258552482, psi:494.696521129, cell no: 1137, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.946907980956, psi:483.499816674, cell no: 702, and time step: 36
PONDING HAS OCCURRED
5.87962981727e-06 
 Values at failure: , psi:inf  eff_theta:-0.07695 eff_sat:-0.0  K:0.000238  dt:86400.0
FAILURE: Infiltration calc! Rain: 5.87962981727e-06, cell no: 701, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.0, psi:inf, cell no: 1360, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.936615500362, psi:524.12912551, cell no: 599, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:323.207489, cell no: 703, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.972597479173, psi:442.990036341, cell no: 1136, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.943250436932, psi:408.38725872, cell no: 3285, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:0.289858319493, psi:6824.46906081, cell no: 3103, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:343.160004, cell no: 3102, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:67.787498, cell no: 3198, and time step: 36
SUCCESS: Infiltration calc! Infiltration: 0.508000016212 ,eff_sat:1.0, psi:218.765167, cell no: 259, and time step: 36
